allresults1,allresults2,allresults3,allresults4
Series 1,Series 2,Slope,R^2
GDPC1,UNRATE,5.0505e-05,0.024522
GDPC1,SAHMCURRENT,-2.9308e-05,0.029274
GDPC1,M2,0.95864,0.88956
GDPC1,M2V,-1.3739e-06,0.0012664
GDPC1,CPGDPAI,0.00044229,0.0572
GDPC1,T10Y2Y,8.292e-05,0.12432
GDPC1,EFFR,-0.00033084,0.09441
GDPC1,GOLDAMGBD228NLBM,0.081143,0.65126
GDPC1,SP500,0.53176,0.96979
GDPC1,DJIA,4.6182,0.95533
GDPC1,CPIAUCSL,0.014987,0.98351
GDPC1,VIXCLS,-0.00015322,0.0031257
GDPC1,SIPOVGINIUSA,0.00048459,0.72363
GDPC1,QUSR628BIS,0.004413,0.71713
GDPC1,UMCSENT,0.0001146,0.0017763
GDPC1,MEHOINUSA672N,0.65464,0.54984
UNRATE,SAHMCURRENT,0.23659,0.20098
UNRATE,M2,-502.5649,0.076614
UNRATE,M2V,-0.010238,0.0079006
UNRATE,CPGDPAI,-0.14826,0.016598
UNRATE,T10Y2Y,0.15391,0.073961
UNRATE,EFFR,-0.55106,0.29834
UNRATE,GOLDAMGBD228NLBM,26.1883,0.01023
UNRATE,SP500,-264.0204,0.92776
UNRATE,DJIA,-2229.652,0.87162
UNRATE,CPIAUCSL,9.0418,0.036872
UNRATE,VIXCLS,1.6108,0.10842
UNRATE,SIPOVGINIUSA,-0.20433,0.024929
UNRATE,QUSR628BIS,-5.2803,0.14241
UNRATE,UMCSENT,-4.3585,0.337
UNRATE,MEHOINUSA672N,-1222.596,0.3922
SAHMCURRENT,M2,-511.914,0.015335
SAHMCURRENT,M2V,-0.00065259,7.424e-06
SAHMCURRENT,CPGDPAI,-0.84293,0.12305
SAHMCURRENT,T10Y2Y,-0.12702,0.010088
SAHMCURRENT,EFFR,-0.18358,0.0076665
SAHMCURRENT,GOLDAMGBD228NLBM,-66.6621,0.015889
SAHMCURRENT,SP500,-420.3151,0.045479
SAHMCURRENT,DJIA,-3498.598,0.041546
SAHMCURRENT,CPIAUCSL,-13.4376,0.022697
SAHMCURRENT,VIXCLS,5.7447,0.29949
SAHMCURRENT,SIPOVGINIUSA,-0.73616,0.032341
SAHMCURRENT,QUSR628BIS,-5.4785,0.041113
SAHMCURRENT,UMCSENT,-7.74,0.23829
SAHMCURRENT,MEHOINUSA672N,20.3546,2.405e-05
M2,M2V,-4.121e-05,0.47893
M2,CPGDPAI,0.00020169,0.048288
M2,T10Y2Y,5.7169e-05,0.059643
M2,EFFR,-0.00026983,0.20599
M2,GOLDAMGBD228NLBM,0.099732,0.74769
M2,SP500,0.28745,0.96162
M2,DJIA,2.481,0.93843
M2,CPIAUCSL,0.015434,0.90239
M2,VIXCLS,-0.00031698,0.021831
M2,SIPOVGINIUSA,0.00022055,0.47727
M2,QUSR628BIS,0.0037011,0.42606
M2,UMCSENT,-0.00010993,0.00077672
M2,MEHOINUSA672N,0.437,0.33874
M2V,CPGDPAI,-1.776,0.024772
M2V,T10Y2Y,-1.2176,0.075808
M2V,EFFR,5.0421,0.41448
M2V,GOLDAMGBD228NLBM,-1183.9911,0.27743
M2V,SP500,-5350.616,0.801
M2V,DJIA,-45182.5908,0.7468
M2V,CPIAUCSL,3.6424,8.1086e-05
M2V,VIXCLS,3.9133,0.015391
M2V,SIPOVGINIUSA,0.16498,0.00034467
M2V,QUSR628BIS,-6.3751,0.0031926
M2V,UMCSENT,10.9354,0.03108
M2V,MEHOINUSA672N,-1129.1369,0.0073695
CPGDPAI,T10Y2Y,-0.068507,0.030535
CPGDPAI,EFFR,0.05577,0.0053704
CPGDPAI,GOLDAMGBD228NLBM,19.0707,0.016373
CPGDPAI,SP500,54.4688,0.019053
CPGDPAI,DJIA,473.3321,0.01882
CPGDPAI,CPIAUCSL,1.2891,0.031055
CPGDPAI,VIXCLS,-2.5136,0.41718
CPGDPAI,SIPOVGINIUSA,0.024633,0.010648
CPGDPAI,QUSR628BIS,1.2681,0.027255
CPGDPAI,UMCSENT,2.1899,0.17138
CPGDPAI,MEHOINUSA672N,126.6469,0.016321
T10Y2Y,EFFR,-1.5008,0.54026
T10Y2Y,GOLDAMGBD228NLBM,153.0509,0.10507
T10Y2Y,SP500,-630.7559,0.73986
T10Y2Y,DJIA,-5588.9301,0.76063
T10Y2Y,CPIAUCSL,27.5284,0.20067
T10Y2Y,VIXCLS,1.166,0.017854
T10Y2Y,SIPOVGINIUSA,0.6155,0.093663
T10Y2Y,QUSR628BIS,2.0265,0.0081524
T10Y2Y,UMCSENT,0.55575,0.0017087
T10Y2Y,MEHOINUSA672N,-988.5884,0.091595
EFFR,GOLDAMGBD228NLBM,-152.4428,0.365
EFFR,SP500,642.6265,0.68287
EFFR,DJIA,5926.4908,0.76048
EFFR,CPIAUCSL,-6.9205,0.27418
EFFR,VIXCLS,-0.41626,0.0078835
EFFR,SIPOVGINIUSA,0.14602,0.17818
EFFR,QUSR628BIS,4.8976,0.28903
EFFR,UMCSENT,1.2719,0.040532
EFFR,MEHOINUSA672N,549.1308,0.24203
GOLDAMGBD228NLBM,SP500,-1.0987,0.11076
GOLDAMGBD228NLBM,DJIA,-7.9285,0.075603
GOLDAMGBD228NLBM,CPIAUCSL,0.12758,0.63457
GOLDAMGBD228NLBM,VIXCLS,-0.001803,0.01193
GOLDAMGBD228NLBM,SIPOVGINIUSA,0.0020266,0.23513
GOLDAMGBD228NLBM,QUSR628BIS,0.026675,0.27187
GOLDAMGBD228NLBM,UMCSENT,-0.0024575,0.0067992
GOLDAMGBD228NLBM,MEHOINUSA672N,1.4882,0.058518
SP500,DJIA,8.6814,0.98717
SP500,CPIAUCSL,0.017992,0.95181
SP500,VIXCLS,-0.0046148,0.23449
SP500,SIPOVGINIUSA,0.00045262,0.92189
SP500,QUSR628BIS,0.020375,0.93788
SP500,UMCSENT,0.017066,0.79579
SP500,MEHOINUSA672N,4.4015,0.86369
DJIA,CPIAUCSL,0.0020572,0.95046
DJIA,VIXCLS,-0.00049775,0.20798
DJIA,SIPOVGINIUSA,4.9353e-05,0.9559
DJIA,QUSR628BIS,0.0022918,0.90629
DJIA,UMCSENT,0.0018907,0.7457
DJIA,MEHOINUSA672N,0.50051,0.85248
CPIAUCSL,VIXCLS,-0.010963,0.0027742
CPIAUCSL,SIPOVGINIUSA,0.034936,0.78734
CPIAUCSL,QUSR628BIS,0.27465,0.66119
CPIAUCSL,UMCSENT,0.0047116,0.00068623
CPIAUCSL,MEHOINUSA672N,43.8756,0.45523
VIXCLS,SIPOVGINIUSA,0.0016793,0.00031638
VIXCLS,QUSR628BIS,-0.46236,0.032318
VIXCLS,UMCSENT,-0.28901,0.033665
VIXCLS,MEHOINUSA672N,31.8402,0.0086686
SIPOVGINIUSA,QUSR628BIS,5.5614,0.31336
SIPOVGINIUSA,UMCSENT,3.0617,0.21801
SIPOVGINIUSA,MEHOINUSA672N,1652.3742,0.53426
QUSR628BIS,UMCSENT,0.10426,0.03068
QUSR628BIS,MEHOINUSA672N,103.5636,0.50208
UMCSENT,MEHOINUSA672N,63.196,0.064071
